partner,total_balance_2015_2023,pct_years_deficit,pct_years_surplus,classification,total_bilateral_trade
Senegal,-44752517.21300001,33.33333333333333,66.66666666666666,persistent_surplus,518797171.391
Israel,-41131397.808000006,100.0,0.0,persistent_deficit,43969581.514
Australia,-39917841.221,100.0,0.0,persistent_deficit,44593137.199
"Areas, nes",-32026052.759,88.88888888888889,0.0,persistent_deficit,32753528.327
Philippines,-31903293.301999997,100.0,0.0,persistent_deficit,33788190.508
Luxembourg,-31567061.070000008,100.0,0.0,persistent_deficit,33663616.160000004
Guatemala,-29519887.504,100.0,0.0,persistent_deficit,29734006.237999998
Slovenia,-26135956.908,100.0,0.0,persistent_deficit,38094863.118
Bulgaria,-21862686.414,88.88888888888889,11.11111111111111,persistent_deficit,40885325.946
Slovakia,-20078750.017,100.0,0.0,persistent_deficit,20079775.757
Ghana,-18092933.818,77.77777777777779,22.22222222222222,persistent_deficit,58124217.172
Costa Rica,-18056760.016000003,100.0,0.0,persistent_deficit,18165090.016
Faroe Isds,-16850774.894,77.77777777777779,0.0,persistent_deficit,16850774.894
Serbia,-16581208.626,100.0,0.0,persistent_deficit,17107318.104
Colombia,-15725146.128,100.0,0.0,persistent_deficit,19748541.956
Croatia,-14765048.687,88.88888888888889,11.11111111111111,persistent_deficit,21198654.634999998
Iran,-14425340.87,100.0,0.0,persistent_deficit,18878249.211999997
