partner,total_trade_2015,total_trade_2023,abs_change,pct_change,avg_annual_growth_pct,share_2015_pct,share_2023_pct,change_in_share_pp,status
Serbia,646063.0,1835240.962,1189177.962,184.06532520822273,13.940278862060751,0.006403346867237249,0.013835852117920409,0.00743250525068316,growing
Belarus,0.0,863265.754,863265.754,,,0.0,0.006508146645655056,0.006508146645655056,emerging
Bosnia Herzegovina,179243.0,950499.182,771256.182,430.2852451699648,23.186663603081925,0.0017765374313715634,0.007165798057397717,0.0053892606260261535,growing
Cambodia,107218.0,847512.955,740294.955,690.4577169878193,29.489582452773135,0.0010626735231880535,0.006389386547161067,0.005326713023973013,growing
Montenegro,0.0,680993.021,680993.021,,,0.0,0.0051339954409168565,0.0051339954409168565,emerging
Iraq,216186.0,796624.066,580438.066,268.49012702025107,17.707255056072047,0.00214269188274294,0.006005736030837605,0.0038630441480946654,growing
Uganda,338635.0,901006.559,562371.559,166.07012240317746,13.011987736778519,0.003356324950332841,0.006792673968008529,0.003436349017675688,growing
Albania,274786.0,799980.507,525194.507,191.128553492536,14.290623065662334,0.0027234961176551744,0.006031040185594437,0.0033075440679392627,growing
Seychelles,25606.0,467254.439,441648.439,1724.7849683667891,43.764434985993894,0.0002537896457194995,0.003522623706262863,0.0032688340605433637,growing
Israel,3358219.0,4838659.988,1480440.988,44.08411089330386,4.67115377673013,0.03328443373656533,0.03647857988626702,0.0031941461497016904,growing
Sao Tome and Principe,912.0,341105.415,340193.415,37301.90953947369,109.70641791318477,9.03913758088665e-06,0.0025715882416980783,0.0025625491041171918,growing
Paraguay,0.0,309007.011,309007.011,,,0.0,0.0023295988898032263,0.0023295988898032263,emerging
Madagascar,111171.0,454291.407,343120.407,308.64200825754915,19.238876746018008,0.0011018530307069624,0.0034248956163468592,0.002323042585639897,growing
South Georgia and the South Sandwich Islands,0.0,279358.779,279358.779,,,0.0,0.0021060813452390727,0.0021060813452390727,emerging
United Rep. of Tanzania,180810.0,485235.359,304425.359,168.3675454897406,13.13350682630694,0.0017920684934211789,0.003658181573167186,0.001866113079746007,growing
Iceland,63313.0,302309.317,238996.31699999998,377.48379795618587,21.5821530749581,0.000627516357081882,0.0022791050823774725,0.0016515887252955904,growing
Eswatini,80676.0,318521.036,237845.03600000002,294.8151073429521,18.726925127759884,0.000799606867846065,0.0024013249713760497,0.0016017181035299847,growing
Niger,391.0,167116.69900000002,166725.69900000002,42640.843734015354,113.23347591656874,3.875332011103816e-06,0.001259890107988456,0.001256014775977352,growing
Panama,61374.0,231317.74599999998,169943.74599999998,276.89859875517317,18.039691381414613,0.0006082982783874311,0.0017439007695310342,0.001135602491143603,growing
Turks and Caicos Isds,0.0,140964.143,140964.143,,,0.0,0.0010627264086084547,0.0010627264086084547,emerging
French Polynesia,37694.0,187999.405,150305.405,398.75153870642544,22.24624588853221,0.00037359786400651464,0.00141732449291148,0.0010437266289049655,growing
Zambia,216045.0,414560.935,198515.935,91.88638246661574,8.487704350465176,0.0021412943844985265,0.0031253682264568024,0.000984073841958276,growing
North Macedonia,7328.0,137406.597,130078.59700000001,1775.090024563319,44.25396709477576,7.263026336922957e-05,0.0010359061264886297,0.0009632758631194002,growing
Nicaragua,15407.0,145480.07200000001,130073.07200000001,844.2465892126955,32.39929668171286,0.00015270393937359716,0.001096771924762877,0.0009440679853892799,growing
Cabo Verde,24657.0,157439.49300000002,132782.49300000002,538.5184450663098,26.080139574074114,0.0002443837887411427,0.0011869338074791541,0.0009425500187380115,growing
Sierra Leone,40350.0,159140.419,118790.419,294.40004708798017,18.711316078483865,0.00039992236994383363,0.0011997570612571644,0.0007998346913133307,growing
Bahamas,1064.0,106150.672,105086.672,9876.566917293234,77.77579931424097,1.0545660511034424e-05,0.0008002682102350954,0.000789722549724061,growing
Kenya,783479.0,1131723.3399999999,348244.33999999985,44.44845873341849,4.704202688207348,0.0077653228867713715,0.008532044072062815,0.0007667211852914434,growing
Burundi,357.0,98103.509,97746.509,27379.974509803924,101.77949960689779,3.5383466188339187e-06,0.0007396007777059817,0.0007360624310871479,growing
Marshall Isds,0.0,86666.352,86666.352,,,0.0,0.0006533762348922745,0.0006533762348922745,emerging
Dominica,2727.0,77715.463,74988.463,2749.851961862853,52.00321984732912,2.7028210727059096e-05,0.000585895626573158,0.0005588674158460989,growing
Rep. of Moldova,0.0,61043.808000000005,61043.808000000005,,,0.0,0.0004602082874623234,0.0004602082874623234,emerging
Saint Vincent and the Grenadines,0.0,52978.491,52978.491,,,0.0,0.0003994039922189669,0.0003994039922189669,emerging
Sri Lanka,387438.0,550607.4079999999,163169.40799999994,42.11497271821554,4.49126322089024,0.0038400278355960106,0.00415102039996831,0.0003109925643722997,growing
